CustomerID,SignupDate
CUST00001,2023-04-13
CUST00002,2024-03-11
CUST00003,2023-09-28
CUST00004,2023-04-17
CUST00005,2023-03-13
CUST00006,2024-12-01
CUST00007,2023-01-21
CUST00008,2024-09-06
CUST00009,2023-05-02
CUST00010,2024-04-11
CUST00011,2023-08-03
CUST00012,2023-11-27
CUST00013,2024-04-03
CUST00014,2023-03-29
CUST00015,2024-01-08
CUST00016,2023-04-10
CUST00017,2024-10-25
CUST00018,2023-05-11
CUST00019,2024-10-23
CUST00020,2023-11-05
CUST00021,2023-12-10
CUST00022,2024-05-06
CUST00023,2024-02-18
CUST00024,2024-01-21
CUST00025,2023-07-11
CUST00026,2023-10-04
CUST00027,2023-06-10
CUST00028,2024-04-04
CUST00029,2023-11-10
CUST00030,2023-01-22
CUST00031,2023-09-10
CUST00032,2024-07-14
CUST00033,2024-04-19
CUST00034,2023-02-28
CUST00035,2024-05-25
CUST00036,2024-11-12
CUST00037,2024-04-20
CUST00038,2024-11-30
CUST00039,2023-07-09
CUST00040,2024-11-17
CUST00041,2024-07-16
CUST00042,2024-07-20
CUST00043,2023-09-01
CUST00044,2024-05-19
CUST00045,2023-05-11
CUST00046,2024-04-29
CUST00047,2024-10-08
CUST00048,2023-01-21
CUST00049,2023-06-16
CUST00050,2023-10-01
CUST00051,2024-01-23
CUST00052,2024-08-23
CUST00053,2023-11-12
CUST00054,2023-01-14
CUST00055,2023-08-30
CUST00056,2023-12-12
CUST00057,2024-07-18
CUST00058,2023-12-06
CUST00059,2023-04-02
CUST00060,2024-01-02
CUST00061,2024-03-30
CUST00062,2024-03-03
CUST00063,2024-05-23
CUST00064,2023-02-04
CUST00065,2023-07-25
CUST00066,2023-03-22
CUST00067,2024-07-15
CUST00068,2024-01-23
CUST00069,2023-01-02
CUST00070,2024-01-25
CUST00071,2024-07-19
CUST00072,2023-04-16
CUST00073,2024-04-21
CUST00074,2024-02-06
CUST00075,2024-07-09
CUST00076,2023-06-11
CUST00077,2023-07-21
CUST00078,2023-09-27
CUST00079,2023-09-28
CUST00080,2024-03-31
CUST00081,2024-04-06
CUST00082,2023-09-09
CUST00083,2023-10-23
CUST00084,2023-12-04
CUST00085,2023-02-22
CUST00086,2023-08-05
CUST00087,2023-07-07
CUST00088,2024-01-15
CUST00089,2024-05-07
CUST00090,2023-02-10
CUST00091,2023-06-06
CUST00092,2023-01-15
CUST00093,2023-03-06
CUST00094,2024-06-04
CUST00095,2023-12-10
CUST00096,2023-05-09
CUST00097,2024-10-09
CUST00098,2024-04-16
CUST00099,2023-03-04
CUST00100,2023-05-19
CUST00101,2024-05-13
CUST00102,2024-08-15
CUST00103,2024-01-27
CUST00104,2024-11-05
CUST00105,2024-02-23
CUST00106,2023-10-16
CUST00107,2024-01-14
CUST00108,2024-05-04
CUST00109,2023-08-19
CUST00110,2023-02-10
CUST00111,2023-01-28
CUST00112,2023-05-15
CUST00113,2023-07-20
CUST00114,2023-02-02
CUST00115,2023-02-17
CUST00116,2024-05-17
CUST00117,2024-02-11
CUST00118,2024-07-27
CUST00119,2023-04-09
CUST00120,2024-11-14
CUST00121,2024-06-30
CUST00122,2024-09-04
CUST00123,2024-04-06
CUST00124,2024-10-04
CUST00125,2023-01-05
CUST00126,2023-08-06
CUST00127,2024-05-17
CUST00128,2024-02-02
CUST00129,2024-01-28
CUST00130,2023-07-26
CUST00131,2023-01-15
CUST00132,2024-07-07
CUST00133,2024-04-05
CUST00134,2024-11-21
CUST00135,2024-07-28
CUST00136,2023-08-29
CUST00137,2024-07-17
CUST00138,2023-04-06
CUST00139,2024-04-29
CUST00140,2024-02-11
CUST00141,2023-08-19
CUST00142,2024-10-16
CUST00143,2023-06-20
CUST00144,2024-06-24
CUST00145,2023-02-05
CUST00146,2024-06-08
CUST00147,2023-06-09
CUST00148,2024-11-29
CUST00149,2023-08-31
CUST00150,2023-03-27
CUST00151,2024-07-31
CUST00152,2024-11-12
CUST00153,2024-07-10
CUST00154,2024-07-27
CUST00155,2024-10-07
CUST00156,2023-01-28
CUST00157,2024-09-11
CUST00158,2024-07-09
CUST00159,2023-12-06
CUST00160,2023-11-27
CUST00161,2024-10-01
CUST00162,2024-05-20
CUST00163,2023-12-14
CUST00164,2024-04-17
CUST00165,2023-08-19
CUST00166,2023-07-09
CUST00167,2023-08-13
CUST00168,2024-01-20
CUST00169,2024-01-12
CUST00170,2023-10-10
CUST00171,2024-09-24
CUST00172,2024-09-19
CUST00173,2023-09-16
CUST00174,2023-12-25
CUST00175,2024-03-31
CUST00176,2024-02-15
CUST00177,2024-10-10
CUST00178,2023-11-14
CUST00179,2024-11-07
CUST00180,2023-08-13
CUST00181,2023-08-22
CUST00182,2024-11-14
CUST00183,2024-10-25
CUST00184,2024-01-09
CUST00185,2024-11-02
CUST00186,2024-08-30
CUST00187,2024-04-16
CUST00188,2023-08-21
CUST00189,2024-11-22
CUST00190,2023-04-23
CUST00191,2024-05-11
CUST00192,2024-03-17
CUST00193,2024-07-17
CUST00194,2023-09-25
CUST00195,2024-05-24
CUST00196,2024-01-21
CUST00197,2024-01-22
CUST00198,2023-04-23
CUST00199,2024-09-04
CUST00200,2024-09-16
CUST00201,2023-03-22
CUST00202,2024-11-29
CUST00203,2023-04-23
CUST00204,2023-01-02
CUST00205,2024-10-03
CUST00206,2023-08-08
CUST00207,2024-07-19
CUST00208,2023-08-13
CUST00209,2024-01-20
CUST00210,2024-02-07
CUST00211,2024-09-29
CUST00212,2023-05-10
CUST00213,2023-02-22
CUST00214,2024-11-14
CUST00215,2024-11-02
CUST00216,2024-02-20
CUST00217,2023-09-04
CUST00218,2024-03-14
CUST00219,2023-07-22
CUST00220,2023-07-03
CUST00221,2023-05-03
CUST00222,2024-02-05
CUST00223,2023-10-21
CUST00224,2023-10-07
CUST00225,2024-09-01
CUST00226,2023-07-17
CUST00227,2024-05-25
CUST00228,2023-05-24
CUST00229,2024-08-31
CUST00230,2023-07-20
CUST00231,2023-05-04
CUST00232,2023-07-06
CUST00233,2023-11-22
CUST00234,2024-04-08
CUST00235,2023-12-15
CUST00236,2024-10-21
CUST00237,2024-02-07
CUST00238,2023-12-12
CUST00239,2024-05-25
CUST00240,2023-05-27
CUST00241,2023-05-28
CUST00242,2024-05-03
CUST00243,2024-10-01
CUST00244,2024-07-04
CUST00245,2023-12-04
CUST00246,2024-10-02
CUST00247,2024-04-17
CUST00248,2023-05-31
CUST00249,2024-02-19
CUST00250,2023-10-25
CUST00251,2024-09-02
CUST00252,2023-09-20
CUST00253,2023-05-24
CUST00254,2023-12-12
CUST00255,2024-09-15
CUST00256,2024-07-25
CUST00257,2023-01-02
CUST00258,2023-10-31
CUST00259,2023-09-11
CUST00260,2024-10-13
CUST00261,2024-03-28
CUST00262,2023-02-06
CUST00263,2023-06-09
CUST00264,2023-01-09
CUST00265,2023-08-21
CUST00266,2023-04-09
CUST00267,2024-10-20
CUST00268,2023-07-27
CUST00269,2023-05-11
CUST00270,2024-02-08
CUST00271,2023-06-01
CUST00272,2023-02-23
CUST00273,2023-04-30
CUST00274,2024-11-03
CUST00275,2024-09-19
CUST00276,2024-08-09
CUST00277,2024-09-16
CUST00278,2024-02-24
CUST00279,2024-02-26
CUST00280,2023-04-14
CUST00281,2023-09-11
CUST00282,2023-08-15
CUST00283,2023-04-22
CUST00284,2024-05-24
CUST00285,2024-04-17
CUST00286,2023-04-09
CUST00287,2023-06-02
CUST00288,2023-12-04
CUST00289,2023-06-12
CUST00290,2024-11-11
CUST00291,2023-06-10
CUST00292,2024-08-02
CUST00293,2024-02-02
CUST00294,2023-10-04
CUST00295,2024-05-18
CUST00296,2024-01-27
CUST00297,2023-05-15
CUST00298,2023-07-14
CUST00299,2024-02-05
CUST00300,2024-10-01
CUST00301,2023-02-02
CUST00302,2024-11-18
CUST00303,2024-04-04
CUST00304,2024-04-14
CUST00305,2024-01-10
CUST00306,2023-01-22
CUST00307,2024-10-31
CUST00308,2023-02-07
CUST00309,2023-08-18
CUST00310,2023-12-31
CUST00311,2024-07-16
CUST00312,2024-03-13
CUST00313,2023-10-10
CUST00314,2023-01-27
CUST00315,2023-08-14
CUST00316,2023-10-04
CUST00317,2024-08-31
CUST00318,2023-10-11
CUST00319,2024-04-25
CUST00320,2024-03-28
CUST00321,2024-10-20
CUST00322,2024-05-30
CUST00323,2024-06-30
CUST00324,2023-07-11
CUST00325,2023-02-18
CUST00326,2024-05-26
CUST00327,2023-01-17
CUST00328,2023-06-21
