CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00001,140,7,19996.73,2,3,4,9,At Risk
CUST00002,21,59,130510.62,4,4,4,12,Champions
CUST00003,157,4,11010.630000000001,2,2,3,7,Needs Attention
CUST00004,87,9,21776.46,3,4,4,11,Loyal Customers
CUST00005,161,40,72302.61,2,4,4,10,At Risk
CUST00006,3,21,44756.22,4,4,4,12,Champions
CUST00007,533,1,5722.45,1,1,2,4,Hibernating
CUST00008,71,4,16916.4,3,2,3,8,Potential Loyalist
CUST00009,179,3,6290.47,2,2,2,6,Hibernating
CUST00010,196,1,880.6,2,1,1,4,Hibernating
CUST00011,169,5,13782.28,2,3,3,8,At Risk
CUST00012,204,10,36319.21,2,4,4,10,At Risk
CUST00013,94,14,22874.21,3,4,4,11,Loyal Customers
CUST00014,505,1,3556.99,1,1,1,3,Hibernating
CUST00015,39,17,28612.79,4,4,4,12,Champions
CUST00016,42,6,12294.140000000001,4,3,3,10,Loyal Customers
CUST00017,1,5,12741.990000000002,4,3,3,10,Loyal Customers
CUST00018,83,13,23643.83,3,4,4,11,Loyal Customers
CUST00019,28,10,16353.970000000001,4,4,3,11,Champions
CUST00021,43,9,14587.99,4,4,3,11,Champions
CUST00022,38,4,9632.16,4,2,3,9,Potential Loyalist
CUST00023,196,1,113.75,2,1,1,4,Hibernating
CUST00024,152,10,15448.43,2,4,3,9,At Risk
CUST00025,186,4,5619.35,2,2,2,6,Hibernating
CUST00026,5,9,20921.030000000002,4,4,4,12,Champions
CUST00027,504,1,4263.72,1,1,1,3,Hibernating
CUST00028,57,14,26850.59,3,4,4,11,Loyal Customers
CUST00029,155,4,6455.54,2,2,2,6,Hibernating
CUST00030,68,40,76216.48,3,4,4,11,Loyal Customers
CUST00031,5,16,35485.38,4,4,4,12,Champions
CUST00032,70,1,1097.51,3,1,1,5,Potential Loyalist
CUST00033,39,5,10943.95,4,3,3,10,Loyal Customers
CUST00034,5,47,107320.52,4,4,4,12,Champions
CUST00035,32,7,7570.9,4,3,2,9,Loyal Customers
CUST00036,34,2,3280.1800000000003,4,1,1,6,Potential Loyalist
CUST00037,156,3,6704.32,2,2,2,6,Hibernating
CUST00038,18,6,13762.05,4,3,3,10,Loyal Customers
CUST00039,117,6,8599.05,3,3,2,8,Loyal Customers
CUST00040,32,10,19734.12,4,4,4,12,Champions
CUST00041,110,4,10215.37,3,2,3,8,Potential Loyalist
CUST00042,57,3,9350.25,3,2,3,8,Potential Loyalist
CUST00043,137,2,7449.97,2,1,2,5,Hibernating
CUST00044,8,6,21061.149999999998,4,3,4,11,Loyal Customers
CUST00046,83,21,37197.74,3,4,4,11,Loyal Customers
CUST00047,46,9,19564.32,3,4,4,11,Loyal Customers
CUST00048,137,16,42437.24,2,4,4,10,At Risk
CUST00049,149,9,12672.83,2,4,3,9,At Risk
CUST00050,1,5,5193.2,4,3,2,9,Loyal Customers
CUST00051,177,12,41938.39,2,4,4,10,At Risk
CUST00052,103,5,7366.900000000001,3,3,2,8,Loyal Customers
CUST00053,158,6,12344.74,2,3,3,8,At Risk
CUST00054,190,2,6230.92,2,1,2,5,Hibernating
CUST00055,411,3,8839.779999999999,1,2,2,5,Hibernating
CUST00056,97,6,12714.67,3,3,3,9,Loyal Customers
CUST00057,100,1,963.08,3,1,1,5,Potential Loyalist
CUST00058,209,4,8041.92,2,2,2,6,Hibernating
CUST00059,564,2,3288.42,1,1,1,3,Hibernating
CUST00060,167,5,8320.82,2,3,2,7,At Risk
CUST00061,115,5,6553.799999999999,3,3,2,8,Loyal Customers
CUST00062,149,2,1981.35,2,1,1,4,Hibernating
CUST00063,30,6,12152.53,4,3,3,10,Loyal Customers
CUST00064,263,3,2591.4,1,2,1,4,Hibernating
CUST00065,412,1,5643.15,1,1,2,4,Hibernating
CUST00066,152,8,33273.83,2,3,4,9,At Risk
CUST00067,9,5,11768.86,4,3,3,10,Loyal Customers
CUST00068,82,13,18369.33,3,4,4,11,Loyal Customers
CUST00069,436,5,15114.77,1,3,3,7,At Risk
CUST00070,39,4,11555.15,4,2,3,9,Potential Loyalist
CUST00071,25,36,75999.14,4,4,4,12,Champions
CUST00072,503,3,4860.77,1,2,2,5,Hibernating
CUST00073,152,3,2276.29,2,2,1,5,Hibernating
CUST00074,63,8,25119.92,3,3,4,10,Loyal Customers
CUST00075,150,1,426.21,2,1,1,4,Hibernating
CUST00076,245,16,33474.81,1,4,4,9,At Risk
CUST00077,434,4,9337.43,1,2,3,6,Needs Attention
CUST00078,63,22,41287.93,3,4,4,11,Loyal Customers
CUST00079,102,6,12759.77,3,3,3,9,Loyal Customers
CUST00080,50,7,13181.779999999999,3,3,3,9,Loyal Customers
CUST00081,123,19,33600.75,3,4,4,11,Loyal Customers
CUST00082,251,3,6975.53,1,2,2,5,Hibernating
CUST00083,45,33,71511.11,4,4,4,12,Champions
CUST00084,139,7,13147.98,2,3,3,8,At Risk
CUST00085,149,3,1818.76,2,2,1,5,Hibernating
CUST00086,46,2,2824.89,3,1,1,5,Potential Loyalist
CUST00087,185,6,16103.65,2,3,3,8,At Risk
CUST00088,139,3,6737.84,2,2,2,6,Hibernating
CUST00089,122,7,10016.47,3,3,3,9,Loyal Customers
CUST00090,143,9,21220.56,2,4,4,10,At Risk
CUST00091,67,22,51501.96,3,4,4,11,Loyal Customers
CUST00092,27,1,1217.52,4,1,1,6,Potential Loyalist
CUST00093,333,2,7532.75,1,1,2,4,Hibernating
CUST00094,63,3,4386.79,3,2,2,7,Potential Loyalist
CUST00095,226,2,2278.16,2,1,1,4,Hibernating
CUST00096,310,2,1743.3600000000001,1,1,1,3,Hibernating
CUST00097,24,2,3273.69,4,1,1,6,Potential Loyalist
CUST00098,35,8,21015.83,4,3,4,11,Loyal Customers
CUST00099,170,5,11543.39,2,3,3,8,At Risk
CUST00100,391,5,19784.61,1,3,4,8,At Risk
CUST00101,78,3,15142.61,3,2,3,8,Potential Loyalist
CUST00103,312,1,2502.34,1,1,1,3,Hibernating
CUST00104,10,29,75329.13,4,4,4,12,Champions
CUST00106,354,2,3159.79,1,1,1,3,Hibernating
CUST00107,349,1,936.74,1,1,1,3,Hibernating
CUST00108,2,18,31683.18,4,4,4,12,Champions
CUST00109,5,29,71723.01,4,4,4,12,Champions
CUST00110,119,6,15046.66,3,3,3,9,Loyal Customers
CUST00111,255,8,20097.57,1,3,4,8,At Risk
CUST00112,229,3,4772.9,2,2,2,6,Hibernating
CUST00114,24,39,60995.020000000004,4,4,4,12,Champions
CUST00115,206,14,19629.83,2,4,4,10,At Risk
CUST00116,25,8,13469.18,4,3,3,10,Loyal Customers
CUST00117,109,7,18150.25,3,3,4,10,Loyal Customers
CUST00118,35,8,15834.7,4,3,3,10,Loyal Customers
CUST00119,337,7,23450.96,1,3,4,8,At Risk
CUST00120,1,41,78595.15,4,4,4,12,Champions
CUST00121,32,19,42319.520000000004,4,4,4,12,Champions
CUST00122,74,3,4780.85,3,2,2,7,Potential Loyalist
CUST00123,140,5,5889.79,2,3,2,7,At Risk
CUST00124,72,3,5429.86,3,2,2,7,Potential Loyalist
CUST00125,207,11,18776.13,2,4,4,10,At Risk
CUST00126,391,1,2943.16,1,1,1,3,Hibernating
CUST00127,59,5,28137.53,3,3,4,10,Loyal Customers
CUST00128,2,264,603112.16,4,4,4,12,Champions
CUST00129,265,7,12072.720000000001,1,3,3,7,At Risk
CUST00130,200,6,10181.41,2,3,3,8,At Risk
CUST00131,478,6,15718.0,1,3,3,7,At Risk
CUST00132,102,2,5228.91,3,1,2,6,Potential Loyalist
CUST00133,82,7,14712.59,3,3,3,9,Loyal Customers
CUST00134,34,1,3522.79,4,1,1,6,Potential Loyalist
CUST00135,92,3,7397.12,3,2,2,7,Potential Loyalist
CUST00136,422,6,10515.74,1,3,3,7,At Risk
CUST00137,97,8,18779.62,3,3,4,10,Loyal Customers
CUST00138,341,7,15125.15,1,3,3,7,At Risk
CUST00139,122,5,6756.5,3,3,2,8,Loyal Customers
CUST00140,148,3,2508.66,2,2,1,5,Hibernating
CUST00141,199,4,9095.0,2,2,3,7,Needs Attention
CUST00142,44,4,7887.48,4,2,2,8,Potential Loyalist
CUST00143,286,10,14912.02,1,4,3,8,At Risk
CUST00144,62,3,2775.31,3,2,1,6,Potential Loyalist
CUST00145,315,5,12630.0,1,3,3,7,At Risk
CUST00146,76,3,3356.28,3,2,1,6,Potential Loyalist
CUST00147,52,16,24241.71,3,4,4,11,Loyal Customers
CUST00148,22,3,8334.599999999999,4,2,2,8,Potential Loyalist
CUST00149,179,5,15166.64,2,3,3,8,At Risk
CUST00150,397,5,7777.56,1,3,2,6,At Risk
CUST00151,2,9,15739.8,4,4,3,11,Champions
CUST00152,23,8,11719.71,4,3,3,10,Loyal Customers
CUST00153,60,3,5679.22,3,2,2,7,Potential Loyalist
CUST00154,76,5,6272.18,3,3,2,8,Loyal Customers
CUST00155,22,5,8709.400000000001,4,3,2,9,Loyal Customers
CUST00156,452,3,5459.99,1,2,2,5,Hibernating
CUST00157,93,3,4296.82,3,2,1,6,Potential Loyalist
CUST00158,82,11,16540.08,3,4,3,10,Loyal Customers
CUST00159,190,2,3152.9,2,1,1,4,Hibernating
CUST00160,270,4,7290.450000000001,1,2,2,5,Hibernating
CUST00161,1,58,125097.63,4,4,4,12,Champions
CUST00163,291,1,1088.33,1,1,1,3,Hibernating
CUST00164,126,1,742.04,3,1,1,5,Potential Loyalist
CUST00165,12,25,51473.53,4,4,4,12,Champions
CUST00166,345,3,9592.02,1,2,3,6,Needs Attention
CUST00167,450,2,3122.93,1,1,1,3,Hibernating
CUST00168,96,2,6666.06,3,1,2,6,Potential Loyalist
CUST00169,293,1,202.83,1,1,1,3,Hibernating
CUST00170,439,1,1138.24,1,1,1,3,Hibernating
CUST00171,18,2,2014.33,4,1,1,6,Potential Loyalist
CUST00172,8,4,10395.09,4,2,3,9,Potential Loyalist
CUST00173,373,3,11939.19,1,2,3,6,Needs Attention
CUST00174,138,5,6454.0,2,3,2,7,At Risk
CUST00175,106,3,6712.82,3,2,2,7,Potential Loyalist
CUST00176,33,3,10885.65,4,2,3,9,Potential Loyalist
CUST00177,23,6,17002.91,4,3,3,10,Loyal Customers
CUST00178,27,3,6795.3099999999995,4,2,2,8,Potential Loyalist
CUST00179,19,2,4617.75,4,1,2,7,Potential Loyalist
